SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,Rural,Suburb,Urban
2495,5,1,Rural,1974,177909.906511219,1,0,0
1194,2,3,Urban,2006,91327.29455786,0,0,1
2693,3,2,Suburb,1979,296362.8774960152,0,1,0
2011,3,2,Urban,1955,188189.04928831005,0,0,1
1652,4,2,Suburb,1966,228453.1124804149,0,1,0
2298,2,1,Suburb,1993,200941.086607173,0,1,0
1006,4,1,Suburb,2018,94560.8007289882,0,1,0
1904,3,3,Rural,2005,229914.13179647116,1,0,0
1978,5,3,Suburb,1984,264867.8908090538,0,1,0
1565,2,3,Rural,1991,85068.04790898298,1,0,0
1615,2,3,Urban,2000,181101.1856885882,0,0,1
2877,3,3,Suburb,2013,368138.2465837837,0,1,0
2873,2,2,Suburb,1967,342827.00639827014,0,1,0
1572,3,1,Suburb,1972,189044.3362605627,0,1,0
1598,2,2,Suburb,1972,192332.6393431402,0,1,0
1769,2,1,Urban,1994,162108.91830311043,0,0,1
2201,5,2,Rural,1965,250453.1178016037,1,0,0
1241,3,1,Urban,1959,152225.7083933502,0,0,1
2226,4,3,Rural,2021,324651.3894913071,1,0,0
2566,5,2,Rural,1967,317423.7520806179,1,0,0
2824,3,3,Suburb,1997,329942.21102040674,0,1,0
2485,2,2,Urban,1973,225902.2736214094,0,0,1
2103,3,2,Rural,1971,234533.65997187007,1,0,0
2546,3,2,Rural,1989,244350.8330042165,1,0,0
2440,5,3,Suburb,1959,260372.8352732089,0,1,0
1765,3,3,Urban,1974,231601.60628216743,0,0,1
1383,2,2,Suburb,2013,183788.3742538209,0,1,0
1390,4,2,Rural,1953,146818.83994619045,1,0,0
1895,4,2,Suburb,1967,204244.2638130524,0,1,0
2822,2,2,Urban,1967,279778.6730558897,0,0,1
1687,4,3,Suburb,1968,192947.4726138253,0,1,0
2149,5,1,Urban,1958,248421.4767234368,0,0,1
2517,3,1,Rural,1983,254566.14210736996,1,0,0
1046,3,2,Rural,1959,129077.1115893542,1,0,0
2741,4,2,Urban,1986,368957.0424169756,0,0,1
2499,4,1,Suburb,1961,244486.83799561224,0,1,0
2972,4,1,Urban,1981,350990.20977874537,0,0,1
1618,5,2,Urban,1978,240229.53031675995,0,0,1
1463,3,2,Rural,2019,200610.5891815265,1,0,0
2810,3,1,Suburb,1950,257029.65975257888,0,1,0
2872,2,3,Urban,1968,346745.0874154026,0,0,1
1122,2,2,Urban,1959,151898.73812347063,0,0,1
2497,5,1,Suburb,1950,337227.88434178976,0,1,0
1133,3,3,Rural,2018,173686.92692962568,1,0,0
2642,3,1,Rural,1985,277392.75502238085,1,0,0
2840,2,2,Suburb,2014,351655.3371469353,0,1,0
1840,2,1,Rural,2006,133935.02549676254,1,0,0
2585,3,2,Rural,1961,253493.90060334984,1,0,0
1848,5,3,Suburb,1963,234763.3890195844,0,1,0
1606,4,3,Suburb,1983,105083.01546880172,0,1,0
2803,5,2,Rural,2002,326223.9958234176,1,0,0
1022,3,2,Rural,1954,104730.18133030554,1,0,0
1565,4,2,Urban,1958,161853.92594043218,0,0,1
2909,5,3,Rural,1979,270476.9702831873,1,0,0
1765,5,1,Urban,1990,213198.80637026063,0,0,1
1964,3,2,Suburb,1967,210746.7760108128,0,1,0
1234,2,3,Urban,1993,117097.19996970192,0,0,1
1995,5,3,Rural,1952,289180.624951792,1,0,0
2082,5,1,Urban,1963,285206.854196724,0,0,1
2187,2,2,Rural,1960,226052.579778539,1,0,0
2794,5,1,Rural,1986,343607.21700195514,1,0,0
1825,5,2,Rural,1959,151789.39800212582,1,0,0
1215,2,2,Suburb,1965,113021.49168620388,0,1,0
2206,3,2,Urban,1987,116694.83243578213,0,0,1
2592,3,1,Urban,1981,289223.0847200659,0,0,1
1656,3,3,Urban,1953,150361.56320521169,0,0,1
1934,4,3,Urban,1950,217113.92698565923,0,0,1
2113,3,3,Rural,2001,293181.9723615696,1,0,0
2987,4,3,Urban,2000,290124.9626379403,0,0,1
1310,4,2,Urban,2021,217612.9426119062,0,0,1
1556,4,1,Suburb,1981,133631.7787186661,0,1,0
1971,2,2,Suburb,2004,223979.1004662062,0,1,0
1256,4,2,Urban,2001,149170.82564486546,0,0,1
1532,4,1,Suburb,2016,218368.9808222016,0,1,0
2556,2,2,Suburb,1997,269308.6671868499,0,1,0
1051,5,1,Suburb,2002,81424.23482214069,0,1,0
2361,5,2,Rural,1980,350311.6553099242,1,0,0
2194,4,3,Suburb,1986,343365.82567640656,0,1,0
2971,3,2,Suburb,2021,257439.8275495928,0,1,0
2090,5,2,Urban,1995,278711.48011674866,0,0,1
2648,3,2,Urban,1991,280545.27212067856,0,0,1
1299,2,2,Rural,2013,109529.2311485604,1,0,0
1671,5,2,Suburb,2009,133388.91386010445,0,1,0
1777,2,1,Urban,1997,237735.4765405347,0,0,1
1831,4,3,Rural,1982,252761.83033021065,1,0,0
1231,5,3,Urban,1997,193191.44446743943,0,0,1
1974,4,1,Urban,1951,257590.5348719624,0,0,1
2860,4,1,Suburb,1954,236828.8881214108,0,1,0
2091,2,2,Urban,1963,224993.07883870765,0,0,1
2529,5,2,Suburb,1984,256525.8932344428,0,1,0
1027,5,2,Suburb,1963,174891.41075798785,0,1,0
2972,5,1,Urban,1968,287796.86394594994,0,0,1
2651,4,2,Rural,1951,393534.6247236207,1,0,0
2074,5,1,Urban,2016,253891.108039636,0,0,1
2716,3,2,Rural,2020,361452.90705277055,1,0,0
2283,3,1,Urban,1961,182506.5902435276,0,0,1
1590,4,3,Suburb,2001,163625.79808417207,0,1,0
1784,2,1,Rural,1967,86069.99196263202,1,0,0
1619,3,2,Urban,1984,151726.9633607113,0,0,1
2986,2,1,Urban,2005,367997.8797459997,0,0,1
1585,5,2,Suburb,1981,205535.7719410822,0,1,0
2710,3,2,Urban,1982,372195.5048246004,0,0,1
2001,4,2,Suburb,1965,285184.7264533005,0,1,0
1183,4,2,Rural,1979,214817.8370242227,1,0,0
2046,2,2,Urban,1995,191525.81017742085,0,0,1
2809,4,3,Urban,2021,235163.28104982967,0,0,1
1128,2,3,Suburb,2014,89312.40219096601,0,1,0
1290,2,2,Suburb,1953,58611.08589454224,0,1,0
2855,3,1,Urban,1956,257797.8253732656,0,0,1
1500,3,1,Rural,2016,72519.98260772256,1,0,0
1185,4,3,Suburb,2003,125021.5423595634,0,1,0
1478,2,3,Rural,2020,206248.6477389629,1,0,0
2594,3,2,Rural,1973,402597.5605816875,1,0,0
1491,5,1,Rural,1983,182119.61517103508,1,0,0
1512,4,1,Suburb,2011,222307.8726220835,0,1,0
2666,4,2,Suburb,2021,388967.4867495928,0,1,0
2090,5,1,Rural,2006,285673.0833491033,1,0,0
2828,5,3,Suburb,1980,337036.7559489921,0,1,0
1466,5,2,Urban,1960,138936.26013879376,0,0,1
1284,3,1,Rural,1979,134596.4816486466,1,0,0
1600,5,1,Urban,1960,249855.8613852804,0,0,1
2440,4,3,Suburb,2001,287617.98125697934,0,1,0
2123,3,2,Urban,2011,208215.82132829344,0,0,1
1188,2,3,Rural,1977,68549.37353702822,1,0,0
1988,5,1,Urban,1964,225328.22520184735,0,0,1
1889,4,2,Suburb,1981,174662.6610292572,0,1,0
2881,5,3,Urban,1966,380534.0836196276,0,0,1
1387,2,3,Rural,1996,93268.82208138326,1,0,0
1240,3,2,Urban,2007,225316.25265795836,0,0,1
2805,2,1,Suburb,2020,251750.2843921912,0,1,0
2754,3,2,Suburb,1974,323226.9767717799,0,1,0
1416,4,3,Urban,1962,140388.29145691905,0,0,1
2941,4,3,Rural,1961,302704.29363828845,1,0,0
1175,4,2,Urban,1994,25470.318528568823,0,0,1
1386,2,2,Rural,1984,189062.8775992368,1,0,0
2494,5,2,Urban,1956,243259.23793354785,0,0,1
1852,5,2,Suburb,2019,245578.98496669452,0,1,0
2256,2,3,Rural,1994,229140.50595329807,1,0,0
1662,5,2,Rural,2011,181774.4123219837,1,0,0
1451,2,2,Rural,1998,37203.60253524348,1,0,0
1276,5,3,Suburb,2019,277095.75948271377,0,1,0
2252,3,3,Suburb,1954,206995.46592330985,0,1,0
2194,4,3,Suburb,1996,322156.8611805703,0,1,0
2758,5,2,Urban,1970,402787.0592859682,0,0,1
1212,2,2,Urban,1976,112602.2948857204,0,0,1
2305,3,1,Urban,1954,210242.88007660917,0,0,1
1040,5,2,Rural,1972,138164.28161707826,1,0,0
2145,5,1,Rural,1995,242829.492119349,1,0,0
2250,2,2,Rural,1990,164282.2559858413,1,0,0
1293,3,3,Rural,2014,96381.44725421324,1,0,0
1599,4,1,Suburb,2004,237682.36930803524,0,1,0
2290,2,1,Rural,1997,220551.7015701939,1,0,0
1540,5,3,Urban,2019,225113.31646763397,0,0,1
2782,4,1,Urban,1988,316637.0058081706,0,0,1
2851,5,2,Suburb,1966,332144.6128107495,0,1,0
1450,2,1,Rural,1963,133079.36991673725,1,0,0
2472,3,3,Suburb,1964,330062.1498095427,0,1,0
2779,4,2,Suburb,1991,291646.996112196,0,1,0
2084,2,1,Urban,2017,198229.72154287325,0,0,1
2525,2,2,Suburb,1991,250422.59204741428,0,1,0
2170,4,1,Suburb,2019,195448.5082365297,0,1,0
2709,3,3,Urban,1968,339543.9356476529,0,0,1
2968,5,1,Urban,1999,248064.7398729883,0,0,1
1789,4,3,Rural,1987,204976.4672955584,1,0,0
1333,2,2,Urban,1972,176610.5211262571,0,0,1
2904,4,2,Suburb,1959,419448.83787868137,0,1,0
2976,4,2,Urban,1995,416698.3514621764,0,0,1
1890,3,1,Suburb,2010,226426.5817550186,0,1,0
2165,3,3,Urban,1963,236375.54250673045,0,0,1
1043,5,1,Rural,1958,85862.23071890727,1,0,0
1143,4,3,Rural,1971,80101.69186131746,1,0,0
2888,3,3,Suburb,2017,269985.24979786784,0,1,0
1332,3,2,Rural,1966,186972.58618730435,1,0,0
1997,2,3,Suburb,1999,191538.87602301623,0,1,0
2520,3,1,Urban,1983,337373.09810436604,0,0,1
2419,4,2,Rural,1989,268430.89865977754,1,0,0
1054,4,3,Urban,2018,108954.46440585917,0,0,1
2330,2,1,Urban,1963,156475.42409457837,0,0,1
1869,2,1,Suburb,1958,145290.1513241996,0,1,0
2446,2,2,Suburb,1974,182313.13479935995,0,1,0
2440,4,3,Rural,2014,224742.1679783506,1,0,0
2696,4,3,Urban,2019,320399.9202728262,0,0,1
1796,5,2,Urban,1953,210614.66745053467,0,0,1
1324,3,2,Urban,1967,125598.79827372322,0,0,1
2733,2,2,Rural,1965,349786.1239926975,1,0,0
2694,3,2,Urban,2018,274767.00984720164,0,0,1
1079,3,1,Urban,1953,176321.7228996228,0,0,1
2054,5,2,Urban,2011,299927.5112627291,0,0,1
1984,4,3,Urban,1972,182717.20890586468,0,0,1
2135,3,3,Rural,2000,201137.56714537868,1,0,0
1557,2,3,Rural,2017,276585.3116719328,1,0,0
1864,2,1,Urban,1970,251619.02740552847,0,0,1
1716,4,3,Urban,1976,183053.9866650756,0,0,1
2587,4,1,Rural,1961,331775.0487997589,1,0,0
2673,4,3,Rural,1969,234487.5111697729,1,0,0
1471,2,2,Rural,1994,101821.53527133496,1,0,0
1073,4,1,Suburb,1994,74479.27721789609,0,1,0
2576,5,1,Rural,1986,308002.82085119234,1,0,0
2502,5,1,Rural,1989,339341.09049209714,1,0,0
1588,2,3,Rural,1968,162684.41120783996,1,0,0
2410,5,2,Urban,1967,345292.60191742,0,0,1
2722,3,3,Rural,1955,285062.8250355323,1,0,0
2905,4,1,Urban,1964,267689.62590997474,0,0,1
1563,5,2,Urban,1999,221698.3184887953,0,0,1
2953,4,1,Urban,2013,204647.85487616292,0,0,1
2456,5,1,Urban,1982,344756.3844223388,0,0,1
2435,4,3,Rural,1976,250918.54768067025,1,0,0
1466,2,3,Suburb,2008,193726.27048219956,0,1,0
1598,3,2,Urban,1966,228093.74512306936,0,0,1
2644,4,3,Rural,2016,210626.14498719468,1,0,0
1991,3,3,Rural,1989,286814.39820306364,1,0,0
2932,4,3,Suburb,1965,314208.8244035775,0,1,0
1736,2,1,Suburb,1970,230497.1337890698,0,1,0
1993,3,1,Urban,1992,281921.572774924,0,0,1
1247,5,3,Suburb,1988,135581.89259339595,0,1,0
2604,3,1,Suburb,2003,316180.81252876966,0,1,0
2143,4,3,Urban,2019,336194.9510869419,0,0,1
1066,3,2,Rural,1995,85224.98927203042,1,0,0
1572,2,3,Suburb,1995,232887.50071776743,0,1,0
2979,3,2,Suburb,1959,374382.5342204704,0,1,0
2350,3,3,Rural,2003,311242.2775381244,1,0,0
2943,3,2,Suburb,1983,269320.498934613,0,1,0
1702,5,1,Urban,1981,217848.19549140483,0,0,1
1469,3,3,Rural,2006,399005.7361807445,1,0,0
1492,4,2,Suburb,1977,226789.9973069654,0,1,0
2724,4,2,Suburb,1954,248402.58877930476,0,1,0
1662,3,1,Urban,2016,209076.6946152705,0,0,1
1285,3,2,Urban,2020,52853.40751707343,0,0,1
2979,5,3,Rural,1977,370797.5287451464,1,0,0
2937,2,2,Urban,1974,387828.813897704,0,0,1
2631,4,2,Suburb,1983,308901.44316800043,0,1,0
1311,5,2,Urban,1976,82272.9028876702,0,0,1
1308,4,1,Suburb,2010,132834.03196488935,0,1,0
1774,4,1,Rural,2006,194170.9916842773,1,0,0
2120,3,1,Urban,1957,261053.74892276304,0,0,1
1964,4,2,Urban,1992,179839.26428725646,0,0,1
2136,2,1,Suburb,1963,146782.2559450916,0,1,0
2660,2,1,Suburb,1951,277700.009619316,0,1,0
1455,2,3,Rural,1989,160126.24800032686,1,0,0
2486,5,2,Suburb,1973,248271.500507939,0,1,0
2971,2,1,Rural,2016,258255.22823674543,1,0,0
1131,2,3,Rural,1950,57097.4553310153,1,0,0
1929,4,3,Rural,1977,192909.072543096,1,0,0
1964,5,2,Suburb,1975,275980.50506720913,0,1,0
1928,3,2,Suburb,1976,333395.6988649873,0,1,0
1120,5,3,Suburb,1959,213685.22236978868,0,1,0
2220,5,2,Urban,2008,288451.3704838233,0,0,1
2829,3,3,Urban,2008,273968.7022910557,0,0,1
2505,3,1,Urban,1989,285716.336937852,0,0,1
1633,3,2,Rural,1981,233733.23152830545,1,0,0
2817,4,1,Urban,1960,319353.30062369915,0,0,1
1896,4,2,Urban,1950,269290.56505064,0,0,1
1771,4,3,Urban,2015,240727.5555890317,0,0,1
2062,2,1,Urban,1964,357702.02696065616,0,0,1
1565,3,3,Rural,2021,240304.1925558967,1,0,0
1511,4,3,Rural,1962,75381.87769532246,1,0,0
2497,4,3,Suburb,1975,214618.70642378172,0,1,0
2184,5,2,Suburb,1983,244893.163844175,0,1,0
1288,4,2,Rural,1950,239699.20169703168,1,0,0
1199,3,3,Rural,1954,109217.66393156134,1,0,0
2811,3,3,Rural,1990,286948.9933731197,1,0,0
1527,2,2,Suburb,1990,127511.15753470502,0,1,0
1916,2,1,Urban,2002,198598.04642409136,0,0,1
2708,5,2,Urban,1968,368675.696319351,0,0,1
2526,2,2,Rural,2006,153572.44536293353,1,0,0
2271,3,2,Suburb,1951,232610.32990008965,0,1,0
2406,2,1,Rural,2021,191887.26991812148,1,0,0
2241,2,2,Suburb,1959,288279.35153624613,0,1,0
2110,4,2,Urban,1976,256722.6925813221,0,0,1
2105,3,1,Urban,2010,198882.75459482856,0,0,1
2085,5,2,Rural,1986,320192.6423061328,1,0,0
1798,2,3,Urban,1992,199719.73977850808,0,0,1
2523,2,1,Rural,2010,304979.22463412664,1,0,0
2065,5,2,Suburb,1955,307688.5354351056,0,1,0
1011,5,3,Rural,2011,125196.79991476383,1,0,0
1832,3,3,Suburb,2013,187850.04466177148,0,1,0
2769,5,1,Rural,1985,285967.208456079,1,0,0
1840,2,1,Rural,2009,194134.9381852094,1,0,0
1642,3,2,Suburb,2010,183127.8933219587,0,1,0
2138,3,1,Urban,1960,329213.5646745247,0,0,1
2241,5,2,Suburb,1964,305440.0692755289,0,1,0
2672,3,3,Rural,1971,244280.3713809942,1,0,0
1105,2,3,Urban,1952,227983.40189941003,0,0,1
1690,2,2,Suburb,2002,221895.9939557349,0,1,0
1527,2,1,Suburb,1987,124600.2337006061,0,1,0
2495,3,2,Urban,1996,276508.16267912206,0,0,1
2777,5,2,Urban,2000,314872.3430885043,0,0,1
1845,2,1,Suburb,2000,214700.5252416454,0,1,0
1892,4,2,Suburb,1958,181271.61062666337,0,1,0
1386,5,1,Rural,2002,196496.1214988401,1,0,0
2249,3,1,Suburb,1964,323303.2158623517,0,1,0
1480,2,3,Urban,1971,217660.46391532032,0,0,1
2777,3,3,Suburb,1985,204909.77038230465,0,1,0
1407,2,1,Urban,2004,123548.30297028454,0,0,1
2480,3,1,Rural,1997,273551.66082600324,1,0,0
2676,4,1,Urban,1956,295534.3403990959,0,0,1
1897,3,1,Urban,2018,282660.4014258088,0,0,1
1710,3,2,Urban,1951,266758.36826011544,0,0,1
2647,3,1,Suburb,1971,230219.48067706224,0,1,0
1638,2,3,Suburb,2019,151928.02926359998,0,1,0
2044,5,1,Suburb,1998,274363.8198672426,0,1,0
2682,3,3,Urban,2007,380880.8191925028,0,0,1
2624,5,1,Suburb,2016,330265.8867004214,0,1,0
1814,2,2,Suburb,2006,219597.4435920018,0,1,0
1917,3,2,Urban,1953,207440.9623444507,0,0,1
1202,2,1,Urban,1995,208251.07285481232,0,0,1
1416,5,3,Suburb,2011,102323.8575863443,0,1,0
1415,2,2,Suburb,1962,77828.07038325576,0,1,0
2471,2,3,Suburb,1968,356645.10965134494,0,1,0
2535,5,3,Rural,1983,282286.2986063604,1,0,0
1084,2,2,Suburb,1994,98274.15732653473,0,1,0
1166,5,1,Urban,1998,212620.6584340261,0,0,1
1383,5,3,Suburb,1993,190771.9811980127,0,1,0
1467,3,3,Rural,1957,166908.6184268757,1,0,0
2095,3,1,Rural,1959,208021.22400561257,1,0,0
1809,2,1,Rural,1970,219907.15709873475,1,0,0
1996,2,2,Suburb,1968,250998.354741964,0,1,0
2544,2,2,Urban,2012,268774.1970863961,0,0,1
2816,4,1,Urban,1958,325735.2197159213,0,0,1
1472,4,1,Suburb,2008,160690.84722479005,0,1,0
1992,3,3,Suburb,1993,148752.83841762575,0,1,0
2281,5,1,Suburb,1987,180315.01453779844,0,1,0
1274,4,3,Suburb,2010,185202.6261061011,0,1,0
2773,4,2,Urban,1950,292879.2948490424,0,0,1
2043,5,2,Rural,1978,270092.7487789101,1,0,0
2513,2,3,Rural,1980,207622.4419684292,1,0,0
2768,2,2,Urban,1969,356285.0330729795,0,0,1
1489,4,3,Suburb,2019,168195.14479877273,0,1,0
2756,4,3,Suburb,2009,314981.7438868279,0,1,0
1325,5,3,Urban,1966,229997.16305529236,0,0,1
1528,5,1,Urban,2003,163086.21770404748,0,0,1
1891,4,2,Rural,1973,248624.55350078412,1,0,0
1088,5,2,Urban,2019,166090.11796638928,0,0,1
1485,2,3,Suburb,2007,173426.11964241337,0,1,0
1707,3,1,Urban,2004,237234.15517309756,0,0,1
1349,4,2,Urban,1968,147079.39866776438,0,0,1
2107,3,1,Urban,1990,277923.7659977105,0,0,1
1386,5,2,Suburb,1995,282056.3621063278,0,1,0
1086,3,3,Suburb,2000,182503.7562039732,0,1,0
1306,4,2,Rural,1952,163952.97946233052,1,0,0
2873,5,1,Urban,2012,273138.1998528629,0,0,1
2177,3,3,Suburb,1987,319296.8602409208,0,1,0
1439,2,1,Rural,1966,175635.40494409826,1,0,0
1739,4,2,Suburb,2017,191465.8587259704,0,1,0
2983,4,2,Rural,2012,375373.9945620133,1,0,0
1263,4,3,Urban,1958,184715.0343752769,0,0,1
1976,4,3,Rural,1979,236821.45044706092,1,0,0
1734,5,1,Urban,2017,194342.0534606458,0,0,1
1420,2,3,Urban,1973,187007.64120153157,0,0,1
1492,2,1,Urban,2005,187247.35837899247,0,0,1
1632,3,3,Urban,2004,102873.4888690849,0,0,1
1992,4,2,Rural,1969,219599.57812559235,1,0,0
1410,4,1,Rural,1999,224199.3914348097,1,0,0
1172,3,2,Suburb,1981,119740.62492920182,0,1,0
1003,5,2,Rural,1956,196614.94889040547,1,0,0
1853,2,1,Urban,1985,204970.19066346105,0,0,1
2663,4,3,Suburb,1954,346758.3495949826,0,1,0
1985,3,1,Rural,2015,232174.1283541192,1,0,0
2495,2,2,Urban,1958,290951.20391442254,0,0,1
2133,3,2,Suburb,1975,198528.7513518636,0,1,0
2890,3,2,Rural,1979,263398.8048847715,1,0,0
2060,5,2,Suburb,1954,182845.23971379368,0,1,0
1582,2,1,Rural,1992,131192.91034351574,1,0,0
2824,4,1,Rural,1969,293300.4197444984,1,0,0
2054,2,1,Suburb,2019,202663.88113799712,0,1,0
2974,5,1,Suburb,1957,321722.12596812536,0,1,0
1380,4,2,Suburb,2009,243959.84595655027,0,1,0
2291,2,3,Urban,1969,281192.1715030748,0,0,1
2034,5,1,Urban,1989,187755.0858586892,0,0,1
1343,4,2,Suburb,2021,132588.95214588518,0,1,0
2863,4,1,Rural,1965,271594.9008638097,1,0,0
2567,3,2,Suburb,1970,278044.1340438492,0,1,0
2592,3,3,Urban,2007,247666.2079189953,0,0,1
1165,5,3,Suburb,1970,54629.185304359824,0,1,0
1699,4,1,Suburb,1993,243423.8170210324,0,1,0
1341,2,3,Urban,1954,140377.5517202216,0,0,1
2505,4,2,Rural,1960,195301.75753125828,1,0,0
2042,5,2,Rural,2021,204893.91203188663,1,0,0
2651,2,1,Urban,2019,185396.96076257247,0,0,1
1979,4,3,Urban,1958,173071.5907107306,0,0,1
2207,2,3,Suburb,1978,170009.5504283189,0,1,0
2805,3,2,Rural,1988,292405.04690546246,1,0,0
1544,2,2,Rural,1955,284363.0771194256,1,0,0
2033,3,2,Urban,1955,121407.11527411905,0,0,1
2615,2,2,Rural,1976,193759.2037628817,1,0,0
1191,3,3,Urban,1964,91208.73430892336,0,0,1
1319,5,1,Rural,2021,211099.69400567448,1,0,0
2725,2,3,Rural,2016,352102.72281966906,1,0,0
1579,4,3,Urban,1958,215456.12615487867,0,0,1
1474,5,2,Suburb,1968,85276.26571916338,0,1,0
2883,5,2,Suburb,1991,317217.3842253666,0,1,0
1636,2,2,Rural,1983,123116.89312978598,1,0,0
1426,5,1,Suburb,1978,101289.28474278231,0,1,0
2871,3,1,Rural,2008,304782.8238906164,1,0,0
2082,3,2,Suburb,1972,211841.49357840305,0,1,0
2459,2,2,Suburb,1987,246926.04527713996,0,1,0
1096,5,3,Rural,1964,163815.50539180264,1,0,0
1495,4,3,Suburb,1999,209770.62323660293,0,1,0
2810,2,3,Urban,2003,325777.259266595,0,0,1
1660,2,2,Suburb,1962,160818.15225895855,0,1,0
2301,5,3,Rural,1987,209551.6706361306,1,0,0
2288,3,1,Suburb,2018,181394.81243077872,0,1,0
1008,5,3,Urban,1994,142509.18878741298,0,0,1
1456,4,1,Urban,1977,159530.49391605656,0,0,1
2818,4,3,Suburb,2012,297573.68179970334,0,1,0
1272,4,1,Rural,1960,74859.60447639652,1,0,0
1939,4,2,Urban,1974,242331.7018854892,0,0,1
2836,2,1,Urban,1986,272672.6460379031,0,0,1
2031,4,3,Rural,1967,268043.6105879866,1,0,0
1207,4,2,Urban,2000,147804.3428165851,0,0,1
2937,4,2,Urban,2004,341434.7091685489,0,0,1
2660,5,2,Urban,1961,195574.3406975584,0,0,1
2146,3,1,Rural,1951,293631.50500443,1,0,0
2056,3,2,Urban,1950,243877.95940481755,0,0,1
2536,3,3,Rural,1966,218551.4219417997,1,0,0
1203,4,2,Urban,1973,159376.0300280157,0,0,1
1517,5,3,Urban,1986,128199.91490563047,0,0,1
2832,2,2,Urban,1985,320020.72945880925,0,0,1
2974,5,1,Rural,1978,311022.25059616537,1,0,0
1516,2,2,Urban,1993,113227.05651345364,0,0,1
1442,5,3,Suburb,2000,191245.1383929144,0,1,0
2615,3,3,Rural,1995,213876.664545907,1,0,0
2809,3,2,Rural,2009,346878.769602496,1,0,0
1688,4,1,Suburb,2021,242809.2633117702,0,1,0
1849,3,2,Suburb,2021,212727.1461282177,0,1,0
1832,3,1,Urban,1997,196469.3371914267,0,0,1
1338,3,3,Rural,1971,128242.99249053326,1,0,0
2461,5,3,Rural,1974,259982.89195064665,1,0,0
2468,3,2,Suburb,1966,242536.0139550395,0,1,0
2159,2,1,Suburb,1973,224612.1293301381,0,1,0
1386,4,3,Suburb,1952,182809.2358971228,0,1,0
2048,5,1,Suburb,1964,174161.92548163768,0,1,0
1505,2,2,Urban,1994,167217.0673057044,0,0,1
2348,5,1,Suburb,1951,250884.3191336903,0,1,0
2718,3,1,Rural,1959,253749.96531050492,1,0,0
1679,5,3,Suburb,1962,244467.8435588568,0,1,0
2361,5,1,Urban,2012,310667.6263933501,0,0,1
1689,4,1,Rural,1962,205898.56990523371,1,0,0
1884,5,3,Suburb,1976,245792.42682702185,0,1,0
2118,5,3,Urban,2017,299622.1782784244,0,0,1
2568,4,2,Rural,1950,218728.08185256124,1,0,0
1622,5,3,Urban,1992,133181.25039682782,0,0,1
2169,5,1,Suburb,2013,227205.9617867879,0,1,0
1892,2,2,Rural,1996,223951.00277174157,1,0,0
1952,2,3,Rural,1967,192278.9022269149,1,0,0
2254,5,3,Rural,1965,294852.0224834466,1,0,0
1783,5,3,Urban,2008,245112.29997890364,0,0,1
2871,3,2,Rural,1992,354120.1213144133,1,0,0
1494,2,2,Suburb,1983,131666.40486897485,0,1,0
2061,3,3,Suburb,1993,221875.37704637423,0,1,0
2448,5,2,Urban,1950,227063.9185804442,0,0,1
2670,3,1,Urban,2010,269677.59411804413,0,0,1
2869,3,1,Rural,2000,246877.73608147452,1,0,0
1746,4,2,Suburb,2008,177766.05096441272,0,1,0
1436,4,3,Rural,1987,193474.97332850605,1,0,0
2854,5,2,Urban,1957,364441.7508437738,0,0,1
2391,2,2,Suburb,1997,250512.6090748411,0,1,0
1344,5,3,Rural,1968,69442.66781976148,1,0,0
2183,2,3,Suburb,2004,243629.99268186276,0,1,0
1549,4,1,Suburb,1968,192590.8586528212,0,1,0
2685,2,1,Urban,1964,285345.6560246332,0,0,1
2935,3,2,Rural,1980,338818.24585706537,1,0,0
1819,3,1,Urban,2021,199065.83756348412,0,0,1
1540,4,3,Suburb,2009,168361.1751151376,0,1,0
1143,5,3,Urban,1991,181477.22665867853,0,0,1
1587,2,1,Urban,2000,187837.7165870524,0,0,1
1656,5,2,Rural,1980,210075.3530232948,1,0,0
2764,2,1,Rural,1995,340971.3510112386,1,0,0
2599,4,3,Rural,1974,319661.61432936566,1,0,0
2882,3,1,Suburb,1965,369546.5166126598,0,1,0
1344,3,1,Suburb,2009,159276.4266660523,0,1,0
2292,2,3,Rural,2020,348749.35890598904,1,0,0
2863,5,2,Suburb,1964,354476.47319134,0,1,0
1695,4,3,Suburb,1981,175780.00890300926,0,1,0
2796,4,1,Rural,1967,216633.91470261145,1,0,0
1267,5,3,Suburb,1997,166974.4926144588,0,1,0
1168,3,2,Urban,2010,210756.7831943925,0,0,1
2794,5,2,Rural,2000,330438.28092977667,1,0,0
2762,3,2,Urban,1996,339529.64379432774,0,0,1
1032,2,2,Urban,2006,37402.52824484819,0,0,1
1376,4,1,Urban,1979,198899.6877862024,0,0,1
2237,2,1,Urban,1997,322775.8587098359,0,0,1
2585,5,1,Urban,1986,294111.66611668444,0,0,1
2463,5,1,Rural,1955,302304.7609860879,1,0,0
2515,2,2,Suburb,1975,351838.1594009083,0,1,0
1392,5,2,Suburb,1978,207413.8568508821,0,1,0
1488,5,1,Rural,1969,154935.22256707217,1,0,0
1721,5,1,Suburb,1986,147267.88448505814,0,1,0
1945,4,3,Suburb,1961,161962.3089943252,0,1,0
2052,4,2,Suburb,1967,279268.78639892576,0,1,0
1038,3,1,Suburb,2019,238097.8611026192,0,1,0
2882,4,1,Urban,2015,376257.0395081739,0,0,1
2635,2,1,Suburb,1979,262105.83301433732,0,1,0
